date,open,high,low,close,volume,mcap
2/13/2019,3653.60,3669.75,3617.25,3632.07,6438903822.53,63694394519.34
2/14/2019,3631.17,3646.26,3607.70,3616.88,6271044417.92,63434486051.98
2/15/2019,3617.37,3647.80,3608.21,3620.81,6091952230.59,63509111125.26
2/16/2019,3615.27,3652.84,3615.27,3629.79,5934744051.70,63673369195.04
2/17/2019,3633.36,3680.54,3619.18,3673.84,7039512502.62,64453368778.96
2/18/2019,3671.37,3936.67,3669.98,3915.71,9908216640.36,68704389994.38
2/19/2019,3911.66,4010.88,3908.15,3947.09,9933626654.82,69262673238.02
2/20/2019,3946.68,4000.49,3926.25,3999.82,8693373948.01,70194350041.97
2/21/2019,4000.26,4010.01,3940.11,3954.12,7775128102.44,69398333876.33
2/22/2019,3952.41,4006.54,3950.82,4005.53,7826525254.38,70308555856.56
2/23/2019,3998.92,4166.29,3968.73,4142.53,8922258315.77,72720867208.22
2/24/2019,4145.46,4210.64,3793.71,3810.43,10794227451.22,66897483404.15
2/25/2019,3807.00,3913.71,3807.00,3882.70,9318796066.67,68173204650.96
2/26/2019,3878.70,3891.58,3837.99,3854.36,7931218996.38,67683296223.36
2/27/2019,3857.48,3888.80,3787.06,3851.05,8301309684.14,67631949500.09
2/28/2019,3848.26,3906.06,3845.82,3854.79,8399767798.46,67704774107.03
3/1/2019,3853.76,3907.80,3851.69,3859.58,7661247975.11,67796965743.35
3/2/2019,3855.32,3874.61,3832.13,3864.42,7578786075.61,67888255370.84
3/3/2019,3862.27,3875.48,3836.91,3847.18,7253558152.32,67592376373.20
3/4/2019,3845.09,3867.38,3733.75,3761.56,9029175787.94,66094551587.19
3/5/2019,3759.83,3903.92,3745.18,3896.38,10174126414.53,68470655399.58
3/6/2019,3897.08,3919.51,3871.46,3903.94,9175291528.52,68609885775.76
3/7/2019,3903.38,3939.37,3894.11,3911.48,9584165518.68,68749421310.51
3/8/2019,3913.23,3950.43,3875.23,3901.13,10638638944.00,68574579320.21
3/9/2019,3894.55,3987.24,3892.39,3963.31,10796103518.22,69674508654.62
3/10/2019,3966.17,3966.17,3924.38,3951.60,9713267606.58,69475297369.72
3/11/2019,3953.74,3966.38,3889.24,3905.23,10125901902.73,68666928025.47
3/12/2019,3903.76,3926.89,3863.56,3909.16,9809887079.44,68743000581.02
3/13/2019,3913.05,3926.60,3891.90,3906.72,9469184841.22,68706700381.16
3/14/2019,3905.58,3946.50,3901.30,3924.37,10480789569.59,69024696307.42
3/15/2019,3926.66,3968.54,3914.02,3960.91,9394210604.86,69675002376.53
3/16/2019,3963.90,4077.04,3961.66,4048.73,9856166973.21,71227967573.29
3/17/2019,4047.72,4054.12,4006.41,4025.23,8221625399.66,70821939585.38
3/18/2019,4029.97,4071.56,4009.12,4032.51,9646954186.21,70958165406.80
3/19/2019,4032.69,4082.22,4023.81,4071.19,9344919956.27,71647703827.73
3/20/2019,4070.79,4089.46,4031.11,4087.48,10175916388.28,71942444088.07
3/21/2019,4083.95,4097.36,4005.15,4029.33,10831212661.69,70926226881.52
3/22/2019,4028.51,4053.91,4021.54,4023.97,9252935969.12,70840048102.38
3/23/2019,4022.71,4049.88,4015.96,4035.83,9578850549.21,71056017909.83
3/24/2019,4035.16,4040.70,4006.19,4022.17,9144851065.00,70823042992.43
3/25/2019,4024.11,4038.84,3934.03,3963.07,10359818882.72,69789872373.29
3/26/2019,3969.23,3985.08,3944.75,3985.08,10707678814.87,70184147202.93
3/27/2019,3984.24,4087.07,3977.81,4087.07,10897131934.18,71987847570.66
3/28/2019,4087.58,4094.90,4040.27,4069.11,9353915899.02,71678998915.34
3/29/2019,4068.30,4113.50,4034.10,4098.37,10918665556.75,72202088875.21
3/30/2019,4092.14,4296.81,4053.91,4106.66,9732688060.43,72355190645.04
3/31/2019,4105.46,4113.02,4094.10,4105.40,9045122442.87,72339379035.95
4/1/2019,4105.36,4164.95,4096.90,4158.18,10157794170.60,73269368747.44
4/2/2019,4156.92,4905.95,4155.32,4879.88,21315047816.20,85986009273.15
4/3/2019,4879.96,5307.00,4876.62,4973.02,22899891582.39,87655288144.60
4/4/2019,4971.31,5063.16,4836.79,4922.80,18251810239.61,86778727821.08
4/5/2019,4922.81,5053.51,4919.49,5036.68,16837325387.24,88796118649.98
4/6/2019,5036.79,5205.82,4992.22,5059.82,16929795193.69,89212733449.57
4/7/2019,5062.79,5235.19,5050.41,5198.90,16655416140.27,91674230185.93
4/8/2019,5199.84,5318.84,5148.21,5289.77,17154113634.32,93286365973.01
4/9/2019,5289.92,5289.92,5167.42,5204.96,14722104361.40,91799330425.24
4/10/2019,5204.11,5421.65,5193.38,5324.55,15504590933.27,93918439274.03
4/11/2019,5325.08,5354.23,5017.30,5064.49,16555616019.11,89341168456.89
4/12/2019,5061.20,5103.27,4955.85,5089.54,13675206312.50,89792633045.02
4/13/2019,5088.85,5127.12,5061.59,5096.59,10823289598.31,89925574874.64
4/14/2019,5095.76,5184.02,5053.57,5167.72,10391952498.03,91188595340.79
4/15/2019,5167.32,5196.61,5024.07,5067.11,12290155060.92,89422237603.00
4/16/2019,5066.58,5238.95,5055.19,5235.56,11618660197.33,92404613297.45
4/17/2019,5236.14,5274.28,5219.21,5251.94,12438480676.61,92702617458.19
4/18/2019,5251.48,5319.99,5250.51,5298.39,13256489918.09,93532402741.09
4/19/2019,5298.15,5336.68,5233.34,5303.81,13780238655.18,93638345002.26
4/20/2019,5304.16,5358.49,5295.88,5337.89,13169647522.18,94248717443.90
4/21/2019,5335.88,5359.93,5257.34,5314.53,13731844222.82,93847052256.19
4/22/2019,5312.49,5422.69,5280.28,5399.37,14601631648.00,95354207775.93
4/23/2019,5399.37,5633.80,5389.41,5572.36,15867308107.98,98417387004.11
4/24/2019,5571.51,5642.04,5418.26,5464.87,17048033399.09,96530038144.45
4/25/2019,5466.52,5542.24,5181.34,5210.52,15330283408.05,92046492863.69
4/26/2019,5210.30,5383.63,5177.37,5279.35,16812108039.63,93272287959.80
4/27/2019,5279.47,5310.75,5233.64,5268.29,13111274675.11,93086156556.15
4/28/2019,5271.75,5326.23,5255.68,5285.14,12819992055.63,93391244394.89
4/29/2019,5284.86,5311.27,5216.49,5247.35,13735490672.32,92737510865.04
4/30/2019,5247.73,5363.26,5224.19,5350.73,13878964573.80,94573826827.48
5/1/2019,5350.91,5418.00,5347.65,5402.70,13679528236.45,95501110090.80
5/2/2019,5402.42,5522.26,5394.22,5505.28,14644460907.01,97330112146.51
5/3/2019,5505.55,5865.88,5490.20,5768.29,18720780005.73,101986240859.23
5/4/2019,5769.20,5886.89,5645.47,5831.17,17567780765.61,103112021258.80
5/5/2019,5831.07,5833.86,5708.04,5795.71,14808830722.93,102494420158.46
5/6/2019,5791.69,5802.96,5653.69,5746.81,15737171804.18,101640471055.64
5/7/2019,5745.60,5988.18,5741.40,5829.50,18026409032.59,103112368557.50
5/8/2019,5849.48,5989.98,5794.72,5982.46,15320605299.60,105829143585.15
5/9/2019,5982.32,6183.04,5982.32,6174.53,16784645410.80,109238600750.15
5/10/2019,6175.82,6434.62,6161.52,6378.85,19419875367.61,112863284035.00
5/11/2019,6379.67,7333.00,6375.70,7204.77,28867562329.30,127488435181.25
5/12/2019,7203.51,7503.87,6815.77,6972.37,27773333679.68,123389710222.36
5/13/2019,6971.18,8047.41,6898.28,7814.92,28677672181.45,138316573807.20
5/14/2019,7807.88,8268.71,7696.39,7994.42,32031452226.82,141508656734.80
